Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,531501.01,To be shipped,1189209.3799999994,Unnamed: 10,Unnamed: 11
Customer,Ship date,CustomerPONumber,Item#,Description,Order Qty,Ship Qty,ShippedValue2,Total Shipment for this month,1720710.3899999994,1448095.3499999994,
AXI$-2500 ,2026-02-04 00:00:00,1,F-22004                 ,5 SITE SEMI-OCCLUSIVE STRIP,4000,4000,1760,7153,URGO - VASHE 250 ml Flip Top 00313,272615.04000000004,145008.0
CENTURION ,2026-02-17 00:00:00,6000027025,609,MEDISTRIP 1/4 IN X 3 IN BULK,5,5,595,,,,
CENTURION ,2026-02-17 00:00:00,6000027025,610,MEDISTRIP 1 IN X 4 IN BULK,18,18,3537,,,,
CLYRA     ,2026-02-11 00:00:00,                        ,N-4001                  ,Credit for Bottles & Caps,1,1,-8084.98,,,,
CLYRA     ,2026-02-11 00:00:00,                        ,N-4001                  ,Cleaning Validation Cost,1,1,8448,,,,
DETEKT    ,2026-02-10 00:00:00,1167,N-4001                  ,Sebutape Skin Strip Samples 7500EA,1,1,5926.15,,,,
DETEKT    ,2026-02-10 00:00:00,1167,N-4001                  ,D-Squame Skin Strip Samples 7500EA,1,1,6609.91,,,,
DETEKT    ,2026-02-10 00:00:00,1167,N-4003                  ,Tooling Charges,1,1,4500,,,,
GlorySun  ,2026-02-02 00:00:00,20251105001,6145,MEDLINE/GLORY SUN SAFE SECURE FOAM BASE,5400,5400,1944,,,,
IOTECH    ,2026-02-04 00:00:00,2025-09-15-ULTRA        ,7560,ioTech ioRinse Ultra 1 liter,15000,14892,25316.4,,,,
IOTECH    ,2026-02-04 00:00:00,2025-09-15-ULTRA        ,7561,ioTech ioRinse Ultra 16 oz,15000,14300,22451,,,,
KCI IRE   ,2026-02-12 00:00:00,1047951,4804,"KCI PEEL AND PLACE PREVENA LONG (35Cm)-416697, Rev D",20000,20000,68378,,,,
MEDL      ,2026-02-05 00:00:00,110445730,4831,"MEDLINE 121043 16""x20"" Instrument Drape",1,1,295,,,,
MEDL      ,2026-02-05 00:00:00,4519562462,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,4,0,0,,,,
MEDL      ,2026-02-05 00:00:00,4519562462,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,18,0,0,,,,
MEDL      ,2026-02-05 00:00:00,4519562462,5975,"MEDLINE SUREFILM 2"" X 11 YARDS MSC2402",1,1,79.89,,,,
MEDL      ,2026-02-16 00:00:00,686078633,609,MEDISTRIP 1/4 IN X 3 IN BULK,46,46,5474,,,,
MPM       ,2026-02-03 00:00:00,239,5668,MPM Regenecare HA Gel 3oz. MP00107,1312,1175,2749.5,,,,
MPM       ,2026-02-05 00:00:00,289,7719,"""Purge"" D* 4oz Bottle, MPM Regenecare HA Spray MP00117 R0325",18380,18380,4960.17,,,,
MPM       ,2026-02-10 00:00:00,51501,7842,"FIDIA PHARMA 2 x 2 Chevron Tyvek/Poly Pouch 3.5"" x 4.5""",6800,6800,734.4,,,,
MPM       ,2026-02-16 00:00:00,251,5666,MPM RadiaPlex Rx Gel 6oz. MP00106,10000,7716,31635.6,,,,
MPM-COL   ,2026-02-11 00:00:00,51506,7843,"FIDIA PHARMA 2 x 2 Collagen Drsg Carton 3.625"" x 1.5"" x 4.625""",1500,1500,946.5,,,,
MPM-COL   ,2026-02-12 00:00:00,51507,R-170061                ,Box S-4345 8 X 8 X 5,130,130,92.3,,,,
MPM-COL   ,2026-02-16 00:00:00,51509,7057,D* SODIUM HYALURONATE (Hyaluronic Acid) CAS# 9067-32-7,1000,1000,400,,,,
MPM-COL   ,2026-02-16 00:00:00,51509,7919,Hyaluronate Acid Powder CAS# 9067-32-7,250,250,31.25,,,,
MPM-COL   ,2026-02-19 00:00:00,51508,4679,BM 2110 USA DOMESTIC BOVINE COLLAGEN DOUGH,1600,1600,24464,,,,
MPM-COL   ,2026-02-19 00:00:00,51508,N-4001                  ,Freight Cost,1,1,4150,,,,
ORORA     ,2026-02-11 00:00:00,4500984616,6370,TB DRY MOUTH TINGLING RINSE 16 OZ BULK 40101908,82000,44525,79205.52,,,,
URGO      ,2026-02-13 00:00:00,PO00137299              ,7152,URGO - VASHE 118 ml Flip Top 00312,49992,49992,85486.32,,,,
URGO      ,2026-02-13 00:00:00,PO00137299              ,7153,URGO - VASHE 250 ml Flip Top 00313,50004,0,0,,,,
URGO      ,2026-02-13 00:00:00,PO00137299              ,7152,URGO - VASHE 118 ml Flip Top 00312,75000,75048,128332.08,,,,
URGO      ,2026-02-20 00:00:00,Rework_Nov2025          ,N-4001                  ,Urgo Rework Item 603070 Lot # 49874,23160,0,0,,,,
URGO      ,2026-02-20 00:00:00,Rework_Nov2025          ,N-4001                  ,Urgo Rework Item 603071 Lot # 49875,80080,30120,21084,,,,
URGO      ,2026-02-20 00:00:00,Rework_Nov2025          ,N-4001                  ,Urgo Rework Item 603073 Lot # 47954,2760,0,0,,,,
URGO      ,2026-02-20 00:00:00,Rework_Nov2025          ,N-4001                  ,Urgo Rework Item 603073 Lot # 50921,2250,0,0,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,0,,,,
